,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
124,Ambon,ID,-3.6954,128.1814,78.94,89,40,6.91,scattered clouds,2021-12-02 04:42:23
125,Avarua,CK,-21.2078,-159.775,77.05,88,20,13.8,light rain,2021-12-02 04:42:23
126,Petrovskoye,RU,57.0104,39.2693,16.45,91,98,10.38,overcast clouds,2021-12-02 04:42:23
127,Eucaliptus,BO,-17.5833,-67.5167,50.77,70,92,12.06,overcast clouds,2021-12-02 04:42:24
128,Popondetta,PG,-8.7537,148.2534,88.14,63,97,7.34,overcast clouds,2021-12-02 04:42:24
129,Kiunga,PG,-6.1219,141.2906,89.53,60,94,4.03,overcast clouds,2021-12-02 04:42:24
130,Ruston,US,32.5232,-92.6379,58.82,82,1,4.61,clear sky,2021-12-02 04:42:24
131,Singaparna,ID,-7.3515,108.111,87.06,56,64,4.21,broken clouds,2021-12-02 04:42:25
132,Yulara,AU,-25.2406,130.9889,105.64,6,0,13.8,clear sky,2021-12-02 04:42:25
133,Denpasar,ID,-8.65,115.2167,85.71,79,40,11.5,light rain,2021-12-02 04:42:25
134,Avera,US,33.194,-82.5271,57.07,53,66,6.58,broken clouds,2021-12-02 04:42:25
135,Ifo,NG,6.8144,3.1958,80.22,94,86,3.47,overcast clouds,2021-12-02 04:42:26
136,Jalu,LY,29.0331,21.5482,54.09,77,93,4.5,overcast clouds,2021-12-02 04:42:26
137,Airai,TL,-8.9266,125.4092,76.98,55,63,2.21,broken clouds,2021-12-02 04:42:26
138,Nyurba,RU,63.2842,118.3319,-16.46,94,100,2.48,overcast clouds,2021-12-02 04:43:27
139,Aykhal,RU,66.0,111.5,-26.48,100,96,3.31,overcast clouds,2021-12-02 04:43:27
140,Dehloran,IR,32.6941,47.2679,65.71,60,65,12.57,broken clouds,2021-12-02 04:43:27
141,Port Elizabeth,ZA,-33.918,25.5701,66.09,77,20,21.85,few clouds,2021-12-02 04:43:27
142,Magistralnyy,RU,56.1725,107.4458,9.19,82,100,7.14,overcast clouds,2021-12-02 04:43:28
143,Barmer,IN,25.75,71.3833,72.5,45,82,6.02,broken clouds,2021-12-02 04:43:28
144,Port Alfred,ZA,-33.5906,26.891,65.57,93,96,18.7,light rain,2021-12-02 04:43:28
145,Hasaki,JP,35.7333,140.8333,54.0,33,0,7.83,clear sky,2021-12-02 04:43:29
146,Alice Springs,AU,-23.7,133.8833,98.15,9,2,14.97,clear sky,2021-12-02 04:43:30
147,Awjilah,LY,29.1081,21.2869,54.36,77,75,4.83,broken clouds,2021-12-02 04:43:30
148,Cap Malheureux,MU,-19.9842,57.6142,84.47,64,1,8.99,clear sky,2021-12-02 04:43:30
149,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.05,81,96,10.6,overcast clouds,2021-12-02 04:43:30
150,Pegnitz,DE,49.7564,11.545,39.78,96,100,8.34,overcast clouds,2021-12-02 04:43:31
151,Toyooka,JP,35.5333,134.8333,51.85,66,75,5.75,broken clouds,2021-12-02 04:43:31
152,Lagos,NG,6.5833,3.75,80.92,92,85,2.71,overcast clouds,2021-12-02 04:40:27
153,Geraldton,AU,-28.7667,114.6,75.61,50,16,25.32,few clouds,2021-12-02 04:43:32
154,Petatlan,MX,17.5167,-101.2667,74.73,92,6,3.11,clear sky,2021-12-02 04:43:32
155,Unguia,CO,8.0434,-77.0945,74.05,97,87,1.54,overcast clouds,2021-12-02 04:43:33
156,Kaitangata,NZ,-46.2817,169.8464,64.92,82,100,9.98,overcast clouds,2021-12-02 04:43:34
157,Ellisras,ZA,-23.6649,27.7443,79.03,48,4,10.51,clear sky,2021-12-02 04:43:34
158,Saint-Philippe,RE,-21.3585,55.7679,81.95,82,58,11.72,light rain,2021-12-02 04:43:35
159,Nanakuli,US,21.3906,-158.1547,80.55,67,1,8.05,clear sky,2021-12-02 04:43:35
160,Saint-Pierre,RE,-21.3393,55.4781,82.04,84,90,20.71,overcast clouds,2021-12-02 04:43:36
161,Kuusamo,FI,65.9667,29.1833,19.44,86,75,3.44,light snow,2021-12-02 04:43:36
162,Marawi,PH,7.9986,124.2928,74.64,64,81,6.73,broken clouds,2021-12-02 04:43:36
163,Souillac,MU,-20.5167,57.5167,84.36,69,75,11.5,broken clouds,2021-12-02 04:43:37
164,Russell,US,32.3502,-85.1999,55.11,75,1,0.0,haze,2021-12-02 04:43:37
165,Porto Novo,BJ,6.4965,2.6036,82.22,89,97,4.03,overcast clouds,2021-12-02 04:43:37
166,Port Lincoln,AU,-34.7333,135.8667,63.82,57,21,18.57,few clouds,2021-12-02 04:43:37
167,Middelkerke,BE,51.1558,2.8418,42.03,79,40,25.32,scattered clouds,2021-12-02 04:43:38
168,Mehamn,NO,71.0357,27.8492,33.98,55,40,19.57,light snow,2021-12-02 04:43:39
169,San Patricio,US,28.017,-97.5169,69.82,85,98,5.26,overcast clouds,2021-12-02 04:43:39
170,Khash,IR,28.2211,61.2158,57.51,32,0,3.15,clear sky,2021-12-02 04:43:39
171,Fort Morgan,US,40.2503,-103.8,53.02,38,6,8.23,clear sky,2021-12-02 04:43:40
172,Tarakan,ID,3.3,117.6333,83.7,79,40,4.61,scattered clouds,2021-12-02 04:43:40
173,Palasa,IN,18.7667,84.4167,76.96,53,73,5.12,broken clouds,2021-12-02 04:43:40
174,Cullman,US,34.1748,-86.8436,56.39,62,40,4.61,scattered clouds,2021-12-02 04:43:41
175,Vestmannaeyjar,IS,63.4427,-20.2734,39.4,97,100,35.97,overcast clouds,2021-12-02 04:43:41
176,Mabay,PH,6.0577,124.4666,84.54,75,96,6.17,overcast clouds,2021-12-02 04:43:41
177,Elk Point,US,42.6833,-96.6836,59.09,40,86,12.26,overcast clouds,2021-12-02 04:42:23
178,Pevek,RU,69.7008,170.3133,-14.64,99,88,4.41,overcast clouds,2021-12-02 04:43:42
179,Den Helder,NL,52.9599,4.7593,41.07,79,75,20.0,broken clouds,2021-12-02 04:43:42
180,Arraial Do Cabo,BR,-22.9661,-42.0278,72.86,86,62,7.76,broken clouds,2021-12-02 04:43:43
181,Bengkulu,ID,-3.8004,102.2655,84.15,65,37,9.06,scattered clouds,2021-12-02 04:43:43
